"site","S","ELE","MAT","TSE","MAP","PSE","NPP","SOC","AET","PET","EHM","TRI","WDF"
"Chail",156,1100,19.5562500953674,565.637500762939,1772.43750762939,97.5562500953674,2034.66873931885,518.030534351145,992,1633.69230769231,2311.76923076923,26.5288461538462,641.692307692308
"Chail",157,1200,18.8690475282215,571.157145182292,1783.91428920201,97.3190485636393,2040.80951799665,508.130136986301,969.086956521739,1618.39130434783,2853.65217391304,28.5842391304348,649.304347826087
"Chail",194,1300,18.0562500953674,573.931255340576,1748.44374847412,96.7312498092651,2016.77498626709,518.337142857143,947.8125,1601.375,2752.8125,29.74609375,653.5625
"Chail",220,1400,17.3833331002129,575.005557590061,1776.1777750651,96.2999996609158,2012.76666937934,523.398058252427,930.470588235294,1588.64705882353,2875.05882352941,33.5551470588235,658.176470588235
"Chail",215,1500,16.736666615804,577.466666666667,1759.5600016276,96.1799997965495,1981.3600016276,542.722488038278,912.133333333333,1577.2,3031.2,32.3041666666667,665.066666666667
"Chail",213,1600,15.9363635236567,579.149999445135,1783.15455211293,95.9363635670055,1924.10911421342,555.609137055838,890.571428571429,1563.14285714286,3189.61904761905,35.0386904761905,672.571428571429
"Chail",206,1700,15.2687499523163,582.150001525879,1734.66248321533,95.7999992370605,1868.72501373291,572.228855721393,875.5,1554,3153.5,33.4375,678.5
"Chail",190,1800,14.6083333492279,583.233337402344,1779.55001831055,95.6000003814697,1812.78335571289,579.549019607843,862.846153846154,1541.92307692308,3327.30769230769,31.5817307692308,679.076923076923
"Chail",173,1900,13.9374999602636,585.129173278809,1760.43751017253,95.7583328882853,1755.12499491374,585.614583333333,847.958333333333,1530.58333333333,3358.125,33.25,682.625
"Chail",169,2000,13.1590909090909,587.481828169389,1772.3818137429,95.6545458706942,1687.17271839489,592.319526627219,831.818181818182,1522,3410.81818181818,28.8636363636364,690.181818181818
"Chail",154,2100,12.5611112382677,589.433329264323,1752.67776150174,95.5555555555556,1634.43333604601,597.704347826087,820.25,1508.625,3719.375,27.6640625,688.375
"Churdhar",507,1700,15.8500003814697,557.200012207031,2521.30004882812,99.8000030517578,1917.09997558594,612,886,1502,3494,31.1875,616
"Churdhar",520,1800,14.9166663487752,556.366678873698,2493.66666666667,100.966667175293,1839.03336588542,583.5,868.5,1513,2836.5,31.65625,644.5
"Churdhar",424,1900,14.25,557.5,2509.69995117188,99.5666656494141,1782.13334147135,614.521739130435,854.5,1483,3657.25,29.640625,628.5
"Churdhar",416,2000,13.4499999284744,558.100006103516,2459.36248779297,97.4749994277954,1712.66250610352,620.68253968254,843.25,1470.25,3483.5,33.5703125,627
"Churdhar",410,2100,12.8900000572205,558.240002441406,2451.05998535156,95.0600006103516,1663.50998535156,640.177083333333,838.2,1446.4,3871.5,36.10625,608.2
"Churdhar",397,2200,12.0794118432438,558.1117625517,2451.38822667739,95.3705879660214,1591.71177045037,697.04347826087,830,1440.64705882353,3365.82352941176,34.75,610.64705882353
"Churdhar",390,2300,11.533333407508,559.505560980903,2412.18888346354,94.5888888041178,1543.07219780816,763.284848484848,827.529411764706,1428.17647058824,3487.82352941176,36.8125,600.64705882353
"Churdhar",360,2400,10.8794117534862,556.370587517234,2435.3352912454,93.5,1484.74117503447,805.370892018779,824.944444444444,1400.88888888889,3510.11111111111,35.6319444444444,575.944444444444
"Churdhar",339,2500,10.2051724401014,559.086204791891,2420.24827417834,92.9275862595131,1424.62758873249,848.864978902954,815.266666666667,1394.66666666667,3667.5,36.8916666666667,579.4
"Churdhar",313,2600,9.53260869565217,558.260874872622,2404.79130222486,91.6695652837339,1364.91741147249,893.509881422925,806,1380.95652173913,4368.26086956522,37.4021739130435,574.95652173913
"Churdhar",285,2700,8.85000002384186,557.78125,2427.35624694824,92.40625,1304.76873779297,939.210084033613,796.25,1367.125,4109.625,33.47265625,570.875
"Churdhar",260,2800,8.13333331743876,557.926668294271,2453.89000651042,91.3866673787435,1242.29999593099,962.599221789883,787.2,1351.56666666667,4392.86666666667,37.35625,564.366666666667
"Churdhar",234,2900,7.49000002543132,557.306669108073,2459.2,91.0866668701172,1186.9933186849,981.112068965517,778.5625,1337.125,4547.8125,36.62109375,558.5625
"Churdhar",207,3000,6.83333335982429,558.833329942491,2497.38886176215,91.516667260064,1131.38330756293,992.154589371981,768.8125,1324.0625,4973.3125,31.3984375,555.25
"Churdhar",182,3100,6.2136363549666,556.881824840199,2479.80000443892,90.245454268022,1079.92726828835,1023.0103626943,760,1316.66666666667,4277.58333333333,35.8802083333333,556.666666666667
"Churdhar",152,3200,5.49117643692914,557.817652085248,2539.21175608915,90.6705892226275,1021.23531565947,1038.19867549669,750.117647058824,1297.47058823529,4077.82352941176,32.9705882352941,547.352941176471
"Churdhar",134,3300,4.93571431296212,553.84286063058,2545.5,91.3714283534459,977.228567940848,1015.44347826087,741.857142857143,1280.71428571429,3261.42857142857,34.0357142857143,538.857142857143
