"Site","Model","logLik","AICc","daicc","dev.adj"
"Chail","S ~ MAP + PET + I(PET^2)",-44.1609208713772,102.03612745704,0.846713320786719,88.752865255113
"Chail","S ~ WDF + MAT + WDF:MAT",-44.7111567056544,103.136599125595,1.94718498934105,85.6900535301603
"Chail","S ~ MAP + I(PET - PET^2) + TRI",-45.3187269457413,104.351739605768,3.16232546951488,82.3080977592945
"Chail","S ~ ELE + MAP + PET",-49.5028607819781,112.720007278242,11.5305931419884,59.0176950372804
"Chail","S ~ NPP + I(NPP^2)",-59.2632558698113,127.526511739623,26.3370976033692,16.6018291454675
"Chail","S ~ ELE + MAP + TSE",-59.7581902897276,133.230666293741,32.0412521574875,1.93282069271028
"Chail","S ~ MAP + I(PET - PET^2)",-63.5746548118818,136.149309623764,34.9598954875101,-4.39712640613095
"Chail","S ~ WDF",-67.977763177878,141.288859689089,40.099445552836,-11.8602300550561
"Chail","S ~ AET",-68.2949431459908,141.923219625315,40.7338054890615,-13.233426631903
"Chail","S ~ MAT",-69.1237159236333,143.5807651806,42.3913510443465,-16.8215092842038
"Chail","S ~ MAP",-70.0982842354162,145.529901804166,44.3404876679122,-21.0407980293494
"Chail","S ~ NPP",-70.1309386042363,145.595210541806,44.4057964055525,-21.1821716089916
"Churdhar","S ~ AET + MAP",-72.503682978905,152.721651672096,0,98.6511970209429
"Churdhar","S ~ WDF + PET + I(PET^2)",-72.2562334371245,155.589389951172,2.86773827907629,98.6183643330028
"Churdhar","S ~ NPP + I(NPP^2)",-74.8346789764561,157.383643667198,4.6619919951022,98.0308318415278
"Churdhar","S ~ ELE + MAP + TSE",-73.6612356986863,158.399394474296,5.67774280219993,98.2156773490884
"Churdhar","S ~ PET + I(PET^2)",-75.3972119758893,158.508709666064,5.78705799396863,97.8811207800387
"Churdhar","S ~ ELE + MAP + PET",-73.8648698139468,158.806662704817,6.0850110327209,98.1573138788367
"Churdhar","S ~ MAP + PET + I(PET^2)",-74.5263236439408,160.129570364805,7.40791869270899,97.9677349328905
"Churdhar","S ~ WDF + MAT + WDF:MAT",-77.8469578203783,166.77083871768,14.049187045584,97.0160096597182
"Churdhar","S ~ AET",-92.1208392911806,189.041678582361,36.3200269102655,93.868315781509
"Churdhar","S ~ MAT",-98.1478111424328,201.095622284866,48.3739706127698,92.3712467549744
"Churdhar","S ~ NPP",-100.551923677731,205.903847355463,53.1821956833672,91.7740774796356
"Churdhar","S ~ MAP + I(PET - PET^2) + TRI",-146.327123449836,303.731169976595,151.0095183045,77.3889442024504
"Churdhar","S ~ MAP + I(PET - PET^2)",-148.757546766175,305.229379246636,152.50772757454,78.3571931105185
"Churdhar","S ~ WDF",-153.811161267199,312.422322534397,159.700670862302,78.544754871223
"Churdhar","S ~ MAP + I(PET^2)",-325.054882860523,657.824051435332,505.102399763236,31.4378810861826
"Churdhar","S ~ MAP",-472.722210095436,950.244420190872,797.522768518776,-0.671120895844846
"All","S ~ WDF + PET + I(PET^2)",-124.612284705196,258.763030948853,-164.065811774337,99.341107844165
"All","S ~ WDF + MAT + WDF:MAT",-131.419260022482,272.376981583425,-150.451861139765,98.6769567057046
"All","S ~ MAP + I(PET - PET^2) + TRI",-147.45698197999,304.452425498442,-118.376417224748,97.1121689989912
"All","S ~ MAP + PET + I(PET^2)",-169.573548797408,348.685559133277,-74.1432835899128,94.954273260289
"All","S ~ PET + I(PET^2)",-178.340970679443,363.570830247775,-59.2580124754152,94.3174042915916
"All","S ~ MAP + I(PET - PET^2)",-197.00078023738,400.890449363649,-21.9383933595409,92.5642120647394
"All","S ~ MAP + I(PET^2)",-200.558599861114,408.006088611117,-14.8227541120735,92.2299352496676
"All","S ~ NPP + EHM + TRI",-206.645190592364,422.82884272319,0,91.3372228149625
"All","S ~ ELE + MAP + TSE",-424.863328646086,859.265118830633,436.436276107443,70.0458535847784
"All","S ~ NPP + I(NPP^2)",-749.438192002668,1505.76527289422,1082.93643017103,40.6596643188428
"All","S ~ NPP",-758.219148163458,1520.86686775549,1098.0380250323,41.9834076416634
"All","S ~ ELE + MAP + PET",-808.919458908486,1627.37737935543,1204.54853663224,32.5738040683473
"All","S ~ AET",-1169.70420231816,2343.8369760649,1921.00813334171,4.70287336100299
"All","S ~ MAT",-1252.55534833435,2509.53926809726,2086.71042537407,-2.80343812725599
"All","S ~ MAP",-1260.89891172868,2526.22639488593,2103.39755216274,-3.55936473505056
"All","S ~ WDF",-1294.97087049008,2594.37031240873,2171.54146968554,-6.6462832361927
